9000	Nolan	Cassidy	58	0	1	n OH l uh n	FALSE	x@numbers.com	1001	
1	57
0	0
0	1
9001	Quinn	Holden	58	0	0	k w ih n	FALSE	x@numbers.com	1002	
1	57
0	0
0	0
9002	Samara	Madden	57	1	1	s uh m AA r uh	FALSE	x@numbers.com	1003	Sam
1	56
0	1
1	0
9003	Camilla	Reynolds	57	0	1	cuh MIL uh	FALSE	x@numbers.com	1004	
1	56
0	0
1	0
9004	Jazmin	Owen	57	0	1	jazz min	FALSE	x@numbers.com	1005	Jax
1	56
0	0
1	0
9005	Dahlia	Rodgers	58	0	1	d ah l y ah	FALSE	x@numbers.com	1006	
0	58
0	0
0	1
9006	Maggie	Cordova	57	1	0	MA gEE	FALSE	x@numbers.com	1007	Mags
0	57
0	1
0	0
9007	Gael	Newman	58	0	0	G EH L	FALSE	x@numbers.com	1008	
0	58
0	0
0	0
9008	NONAN	Vance	57	1	0	t AI l er	FALSE	x@numbers.com	1009	Tay
0	57
0	1
0	0
9009	Marley	Armstrong	58	1	0	mar lee	FALSE	x@numbers.com	1010	
1	57
0	1
0	0
9010	Mikaela	Johnson	58	0	0	m ih k ai l ah	FALSE	x@numbers.com	1011	
1	57
0	0
0	0
9011	Kody	Drake	58	0	1	Koh Dee	FALSE	x@numbers.com	1012	
1	57
0	0
1	0
9012	Paula	Anderson	58	0	0	PAW la	FALSE	x@numbers.com	1013	
1	57
0	0
0	0
9013	Terry	Blevins	58	1	0	t AIR ee	FALSE	x@numbers.com	1014	Tom
1	57
0	1
0	0
9014	Ronan	Romero	57	0	1	roe NAN	FALSE	x@numbers.com	1015	
1	56
0	0
0	1
